"Airline","Departure","Destination","distance_km"
"GV","EMK","BET","263.056"
"EK","DXB","ABV","5386.863"
"TK","KWI","DWC","859.37"
"MU","WNZ","HKG","935.571"
"CA","BAV","TYN","386.365"
"J9","HMB","KWI","1626.685"
"DV","PPK","ALA","1391.107"
"CZ","CGQ","YNZ","1267.198"
"CZ","XIY","TSN","924.639"
"CZ","CSX","JIQ","452.054"
"MU","CSX","WUX","786.199"
"FZ","DXB","CTA","4024.712"
"3T","KRT","NDJ","1929.205"
"9R","LCR","LET","491.29"
"LH","TIV","FRA","1151.091"
"MU","WUH","DAT","1033.584"
"BE","HEL","MHQ","280.504"
"AB","TXL","BEG","1002.219"
"G8","BOM","AMD","444.16"
"LS","MAN","HER","2929.362"
"G4","PSM","SFB","1842.59"
"OU","ZAD","PUY","142.777"
"IW","AMQ","SOQ","473.59"
"CZ","CAN","HJJ","577.259"
"HU","CSX","CKG","662.126"
"5T","YFB","YOW","2097.437"
"MH","KTE","SZB","260.528"
"S2","BLR","DEL","1710.049"
"WN","SAN","MSY","2568.267"
"EW","MGL","ZRH","444.093"
"US","CLE","CLT","693.666"
"HU","PEK","KWE","1756.271"
"AA","JFK","MIA","1757.122"
"6E","BOM","DXB","1926.162"
"E5","KWI","LXR","1555.724"
"CZ","LJG","HGH","2009.816"
"KY","BSD","XIY","1393.834"
"J3","YHY","YEG","847.694"
"G8","HYD","PAT","1156.677"
"XQ","ZRH","AYT","2165.571"
"V7","NTE","MPL","589.48"
"PR","MNL","LHR","10767.161"
"LJ","NGS","ICN","595.908"
"SP","PIX","PDL","256.357"
"UA","DEN","DSM","945.915"
"CA","JDZ","XIY","976.701"
"NH","OKA","KMJ","800.989"
"B6","POS","JFK","3557.359"
"6E","RPR","CCU","711.046"
"AM","LAP","GDL","825.696"
"GS","TSN","PKX","91.151"
"OV","TLL","TRD","862.855"
"WS","CUN","YYJ","4459.604"
"TK","ESB","FRA","2196.778"
"SY","DFW","CUN","1657.192"
"MS","EBL","CAI","1350.426"
"PS","VNO","KBP","609.258"
"SJ","KNO","PKU","453.91"
"4U","BLQ","TXL","904.218"
"IB","BCN","ZAG","1229.442"
"6E","DEL","GOP","657.164"
"FR","PFO","RIX","2551.207"
"8L","TYN","LJG","1691.303"
"LA","ILQ","LIM","884.391"
"UX","MAD","TLV","3543.838"
"KE","ICN","OKA","1258.572"
"VY","OTP","BCN","1980.472"
"BA","LHR","JED","4748.297"
"NK","MSY","BOS","2199.568"
"WN","BWI","ROC","446.474"
"IV","THR","AWZ","538.557"
"V7","GOA","PMO","779.01"
"FR","LTN","KUN","1647.413"
"MH","MEL","SYD","705.402"
"CA","CKG","INC","976.1"
"4Y","PKA","BET","9.152"
"AZ","LCY","FCO","1420.761"
"EP","IFN","PGU","603.167"
"TL","DRW","BME","1112.603"
"Y9","BND","AEU","200.45"
"NH","NRT","IAD","10844.581"
"TO","MPL","RAK","1695.958"
"FR","SKG","CIA","879.652"
"2G","BTK","IKT","488.34"
"AS","ANC","KSM","708.896"
"3O","CMN","BGY","2010.085"
"CZ","YIW","CGO","819.669"
"TO","DJE","NTE","1805.218"
"TK","IST","GRZ","1235.573"
"VA","ALH","OCM","1380.159"
"MS","MAD","CAI","3349.646"
"CZ","XMN","CKG","1273.043"
"IB","BCN","NAP","1023.608"
"CA","CAN","WUX","1142.387"
"CA","XIY","JDZ","976.701"
"IB","MAD","SPC","1845.833"
"ZK","DEN","DDC","469.787"
"AC","CPH","VNO","809.243"
"TK","GOA","IST","1656.241"
"EI","DUB","PRG","1454.746"
"A3","CDG","RHO","2494.524"
"BA","LHR","DXB","5497.926"
"UA","SGU","DEN","830.756"
"AA","LAS","YEG","1919.749"
"W6","LWO","LWO","0.0"
"SQ","USM","SIN","1009.947"
"CI","SIN","MNL","2374.852"
"IB","MIA","MSY","1084.593"
"MU","XIY","HYN","1366.856"
"LH","TXL","FRA","431.682"
"EW","STR","AYT","2182.409"
"TK","IST","EZS","945.514"
"MU","CKG","XNN","869.498"
"BT","RIX","LPX","181.075"
"W6","WAW","BGY","1092.478"
"MU","AMS","BCN","1241.136"
"PB","YYT","YJT","442.726"
"WJ","YNP","YHO","79.187"
"G5","WUH","WDS","371.341"
"LH","MUC","PEK","7720.913"
"AY","SIN","HEL","9275.353"
"LH","MUC","BSL","328.039"
"K2","CDG","WRO","1047.643"
"US","CLT","BNA","527.791"
"LH","FRA","BLQ","644.691"
"MU","DAT","WUH","1033.584"
"KE","ICN","KWE","2208.677"
"IB","LPA","MAD","1764.684"
"KN","DLC","PKX","445.712"
"TS","FRA","YYC","7528.452"
"KU","KWI","ISB","2404.285"
"WN","LAS","SDF","2607.311"
"CA","CSX","HFE","559.972"
"SQ","CNX","SIN","2012.823"
"LY","PEK","TLV","7140.501"
"EE","ARN","WAW","853.605"
"IA","EBL","IST","1430.457"
"AF","OPO","CDG","1231.139"
"JA","SJJ","BEG","192.245"
"LS","EMA","BUD","1578.755"
"MU","LED","XIY","6130.701"
"UA","DEN","CID","1111.691"
"US","FAT","DFW","2109.097"
"9K","SJU","EIS","153.882"
"UR","UFA","TJM","657.406"
"ZH","LYI","XIY","884.764"
"FD","DMK","VTE","499.096"
"PN","TSN","CKG","1432.33"
"WO","CUN","YXU","2503.391"
"4O","SNA","GDL","2048.674"
