"Airline","Departure","Destination","distance_km"
"NS","SJW","CKG","1206.217"
"AY","LHR","LAS","8395.01"
"AA","DFW","SNA","1934.859"
"ZL","TRO","GFN","241.828"
"HU","CAN","HGH","1038.357"
"KY","NNG","XMN","1036.954"
"6E","CCU","CAN","2541.524"
"AF","ORY","MAD","1030.331"
"LS","MAN","AYT","3130.424"
"PU","MAD","LIM","9526.187"
"TK","BLL","IST","2146.359"
"VA","HTI","MEL","1965.782"
"CX","HKG","HYD","3747.244"
"AF","BIA","ORY","880.024"
"AC","YYC","YQF","119.107"
"Y4","GDL","CUN","1708.713"
"VS","MAN","LHR","242.811"
"B2","MSQ","KUF","1451.93"
"IB","BWI","LHR","5833.38"
"TK","IST","DXB","3028.336"
"EK","DXB","HYD","2546.803"
"G5","CKG","BAV","1243.164"
"MY","SPR","CUK","20.959"
"VB","MTY","CUN","1448.345"
"NH","NRT","CDG","9709.929"
"EK","HYD","DXB","2546.803"
"PS","IST","ODS","593.196"
"BY","MAN","BVC","4510.918"
"TO","ORY","ETM","3472.657"
"CA","WUX","CKG","1333.22"
"Q9","YZV","YPN","147.621"
"GJ","LJG","ZYI","675.936"
"AC","PDX","YYC","881.672"
"WS","DEN","YYC","1445.257"
"P9","TCQ","AQP","235.647"
"F9","DEN","BNA","1627.584"
"LA","MAO","LIM","2127.994"
"AA","ATW","CWA","107.782"
"AA","DFW","DSM","1005.602"
"LA","LIM","AQP","765.517"
"SV","EBL","JED","1684.292"
"AK","KUL","DPS","1964.367"
"AZ","DXB","CDG","5238.621"
"7H","UNK","ANC","629.821"
"CZ","KWE","INC","1330.103"
"FM","ZHA","XMN","877.66"
"CA","HGH","HKG","1094.053"
"DP","LED","NBC","1372.886"
"4T","HRG","BSL","3216.438"
"B6","BOS","LGB","4178.388"
"AT","CMN","BOS","5526.519"
"AA","MAD","BOS","5474.383"
"M4","JED","HMB","913.943"
"MU","HKG","INC","1949.618"
"ZH","CAN","HRB","2733.84"
"LA","LIM","EZE","3152.968"
"LH","YOW","LHR","5346.243"
"KC","KBP","TSE","2823.029"
"US","DFW","ONT","1908.342"
"MS","CAI","DXB","2415.445"
"CZ","NNG","CAN","531.937"
"VIT","DPS","LBJ","519.945"
"UN","MSQ","LED","671.784"
"QF","IST","DXB","3028.336"
"AA","AMA","DFW","501.525"
"GX","NNG","ZYI","566.29"
"QF","DXB","LHR","5497.926"
"MU","WUX","XMN","805.106"
"PI","YKS","MQJ","808.943"
"9W","BOM","AMD","444.16"
"IA","EBL","MAN","4021.915"
"FR","EIN","CTA","1731.228"
"AF","CDG","SCL","11672.85"
"AF","LIS","CDG","1469.964"
"IY","CAI","CDG","3210.457"
"SV","URY","JED","1098.17"
"D7","JED","KUL","7065.7"
"TK","NDJ","IST","3504.836"
"SV","JED","AYT","1874.223"
"VS","BGI","LHR","6750.864"
"AF","IBZ","CDG","1131.397"
"CZ","CAN","CKG","965.641"
"GK","OIT","NRT","830.864"
"KY","CIH","XMN","1386.382"
"US","DFW","AMA","501.525"
"PN","CKG","SWA","1195.355"
"AK","CCU","KUL","2635.578"
"AA","CID","PHX","2011.927"
"AM","GDL","SJD","723.245"
"U2","CDG","CMN","1931.52"
"AZ","RNS","CDG","332.373"
"TK","CAN","IST","7882.105"
"DL","LAS","YYC","1674.112"
"FR","TRN","CTA","1058.712"
"KL","BSL","CDG","400.742"
"SG","JLR","BOM","872.636"
"US","CDG","DFW","7944.057"
"GA","DJJ","MKW","742.766"
"HO","YYA","NNG","903.336"
"US","BWI","PHX","3209.737"
"AA","DFW","LAS","1694.8"
"BA","LHR","JMK","2552.611"
"BA","LHR","BWI","5833.38"
"4O","CUN","HAV","509.168"
"CZ","JNG","DLC","615.174"
"AZ","CDG","MAN","587.996"
"FR","MRS","IBZ","601.184"
"MU","CKG","WSK","330.217"
"QF","DXB","MEL","11645.111"
"HY","BHK","LED","3250.937"
"ET","CAN","BOM","4204.285"
"VA","GET","PBO","695.195"
"AY","BOS","LHR","5239.65"
"MH","XMN","KUL","2996.059"
"U2","MAN","AYT","3130.424"
"KE","SCL","LIM","2461.893"
"B9","ABD","THR","657.47"
"CA","HRB","WEH","995.867"
"S2","CCU","GAU","498.312"
"KC","LHR","ALA","5623.883"
"NK","BWI","BNA","943.646"
"WS","YYC","SJD","3131.239"
"NH","CDG","NRT","9709.929"
"QF","SGN","MEL","6698.769"
"ZL","GFN","TRO","241.828"
"AF","ORY","CFE","331.928"
"TK","ABV","IST","4163.466"
"TK","NAJ","IST","1434.743"
"AA","DFW","TUL","381.918"
"EP","DXB","BDH","152.137"
"WS","LAS","YYC","1674.112"
"HU","SJW","CGQ","1116.774"
"JR","UYN","SJW","445.478"
"DX","EBJ","ABZ","687.093"
"9W","BOM","HKG","4271.902"
"PS","KBP","CDG","2032.405"
"AF","BIA","MRS","360.343"
"CZ","CAN","LJG","1364.137"
"IW","PNK","PSU","407.861"
"AZ","PMO","NAP","318.413"
"JT","LBJ","DPS","519.945"
"F9","DEN","HRL","1649.633"
"WN","BWI","LAS","3381.12"
"WS","YYC","YOW","2878.546"
"TK","KUL","SGN","1050.294"
"IW","KOE","LBJ","455.295"
"AF","CDG","BSL","400.742"
"XQ","SAW","DTM","2032.365"
"TK","IST","ALA","3921.436"
"TK","IST","AYT","517.731"
"IN","BDJ","PNK","699.006"
"TK","MRS","IST","1941.809"
"MF","SJW","HGH","1038.423"
"SG","HYD","BOM","622.839"
"SC","DLC","DAT","701.543"
"AA","MTJ","DFW","1160.818"
"AS","PHX","ANC","4101.429"
"B2","MSQ","IST","1402.883"
"EK","CAI","DXB","2415.445"
"FR","EIN","TSF","816.683"
"SC","CNX","CKG","1444.389"
"CZ","CGQ","HGH","1599.128"
"BA","DFW","MAD","7973.896"
"CZ","WUX","CAN","1142.387"
"FL","BWI","BOS","594.054"
"PS","KBP","ALA","3534.457"
"U2","BSL","AYT","2241.162"
"PS","CDG","KBP","2032.405"
"AA","ANC","PHX","4101.429"
"KA","HKG","CAN","136.012"
"BR","DFW","ANC","4889.263"
"AA","DFW","EZE","8533.648"
"WN","AMA","LAS","1217.72"
"PC","BSL","SAW","1879.548"
"AP","CDG","PMO","1470.935"
"AA","DFW","CID","1104.086"
"IB","MAD","LIN","1180.21"
"ZH","HRB","CAN","2733.84"
"TK","SAW","JED","2329.071"
"GJ","LJG","AVA","562.024"
"JJ","LIM","SCL","2461.893"
"AT","CMN","TRN","1851.8"
"B6","BOS","CLE","903.305"
"UA","DEN","CLE","1927.923"
"AF","MRS","ORY","626.998"
"ZH","WUX","HKG","1207.8"
"EK","DFW","DXB","12919.389"
"KC","KUL","ALA","5130.461"
"TOM","NAP","MAN","1859.931"
"AZ","PMO","TRN","901.874"
"HU","HGH","CGQ","1599.128"
"AZ","TRN","CDG","573.003"
"LH","BOM","HYD","622.839"
"AA","DFW","SJD","1647.935"
"LA","TYL","LIM","944.747"
"CZ","CIH","DAT","425.104"
"VA","MQL","MEL","456.289"
"BA","LHR","CAI","3532.648"
"TO","ORY","IBZ","1098.265"
"MF","HGH","CGQ","1599.128"
"MU","SJW","DLC","599.099"
"AF","CAI","CDG","3210.457"
"HX","HRB","HKG","2823.243"
"XC","AYT","NUE","2114.058"
"F9","DEN","CZM","2733.463"
"CA","DLC","HGH","976.647"
"JT","MKQ","DJJ","660.958"
"SC","INC","SJW","757.324"
"AF","CUN","CDG","8218.82"
"I5","HYD","CCU","1207.673"
"US","CLE","DFW","1641.733"
"CA","CAN","LZO","995.28"
"MH","NRT","KUL","5408.917"
"MU","CAN","WEH","1755.113"
"MH","KUL","HKG","2543.09"
"EK","DXB","EBL","1634.189"
"NK","LAS","DFW","1694.8"
"K5","AHN","BNA","389.401"
"DV","AKX","TSE","1007.849"
"BA","BWI","LHR","5833.38"
"P4","LCE","PEU","333.443"
"QF","MQL","MEL","456.289"
"TK","IST","AAL","2216.014"
"ZH","INC","HGH","1607.844"
"FL","SNA","LAS","364.468"
"AA","DFW","YYC","2451.197"
"9I","GAU","CCU","498.312"
"HV","PMO","CTA","190.585"
"CA","XMN","NNG","1036.954"
"TO","OZZ","ORY","2126.841"
"US","ELP","DFW","885.373"
"AF","CDG","LHR","347.168"
"AT","MAD","CMN","867.052"
"JT","DPS","LBJ","519.945"
"ZH","CAN","NNG","531.937"
"QB","THR","SDG","392.869"
"BA","MAD","DFW","7973.896"
"AF","CDG","BIA","896.458"
"IW","DPS","LBJ","519.945"
"AA","DEN","DFW","1032.098"
"VS","BOM","LHR","7213.041"
"AM","BOS","CUN","2796.18"
"AC","YQB","YZV","536.741"
"0B","BCM","TRN","1494.928"
"AA","HKG","NRT","2962.147"
"AA","DFW","MAD","7973.896"
"AA","LHR","CDG","347.168"
"FR","NAP","MAN","1859.931"
